B_1,B_2,T_1,T_2,G_1,G_2,
6.099419124218052,5.347810218978102,8.434092940125112,10.209854014598541,4.136282394995532,3.3704379562043796,
5.602323503127793,4.974087591240876,9.831099195710456,10.622627737226278,3.668453976764969,3.1824817518248176,
5.618185880250223,5.203284671532847,12.707998212689901,10.598175182481752,3.4573279714030383,3.0452554744525546,
5.4749776586237715,4.848175182481752,13.926720285969616,10.762408759124087,3.25,3.372992700729927,
5.231456657730116,4.976277372262774,14.02792672028597,10.41058394160584,3.3237265415549597,3.3427007299270075,
5.216487935656836,4.918248175182482,14.770554066130474,9.674452554744526,3.4684986595174263,3.4532846715328467,
5.44325290437891,5.385401459854014,14.948614834673815,8.63029197080292,3.276362823949955,3.6744525547445255,
5.510500446827525,5.053284671532847,14.575513851653263,8.164233576642335,3.1311438784629133,3.545620437956204,
5.422475424486148,5.3215328467153284,15.130697050938338,9.143795620437956,3.440125111706881,2.995985401459854,
5.5328418230563,5.04963503649635,15.609025915996426,9.610583941605839,3.1088025022341377,3.403284671532847,
5.813672922252011,5.1065693430656935,15.872430741733691,10.172262773722627,3.3672922252010724,3.237591240875912,
5.592046470062556,5.124087591240876,14.79289544235925,10.068978102189782,3.3471849865951744,3.0755474452554745,
5.391644325290438,5.464598540145985,14.814119749776586,8.084671532846714,3.30183199285076,3.6255474452554743,
5.625111706881144,5.218613138686131,15.248659517426274,7.278467153284671,3.2987042001787312,3.408759124087591,
5.5422252010723865,5.477007299270073,15.53976764968722,8.020437956204379,3.2727882037533513,3.2135036496350367,
6.087131367292225,5.204744525547445,15.006478999106346,7.792335766423357,3.299597855227882,3.1156934306569344,
5.988605898123325,5.2127737226277375,13.988829311885612,7.694160583941605,3.193029490616622,3.2828467153284673,
5.830428954423592,4.92007299270073,16.06166219839142,9.4992700729927,3.307640750670241,3.1952554744525545,
6.2629579982126895,5.1817518248175185,12.995978552278821,9.704379562043796,4.793342269883825,3.230656934306569,
6.0491510277033065,4.925182481751825,11.715370866845397,9.160948905109489,4.125781948168007,3.1667883211678833,
6.042672028596962,5.383211678832117,10.867292225201073,8.332481751824817,4.176496872207328,3.760948905109489,
6.483467381590706,5.222992700729927,11.35366398570152,7.700729927007299,4.261394101876675,3.4594890510948906,
6.520330652368186,5.041970802919708,11.130026809651474,7.878832116788321,4.5109472743521,3.1864963503649637,
6.570822162645219,5.202554744525547,11.04781054512958,6.836496350364963,4.64343163538874,3.3175182481751824,
6.170017873100983,5.211678832116788,11.229669347631814,7.0927007299270075,4.111260053619303,3.1751824817518246,
7.001117068811439,4.987226277372263,10.788650580875782,7.464963503649635,4.323056300268097,3.595985401459854,
6.297363717605005,5.411678832116788,10.60366398570152,7.442335766423358,4.448391420911528,3.3076642335766424,
6.324173369079535,5.610948905109489,10.523681858802503,7.076642335766423,4.149463806970509,3.3945255474452556,
6.814566577301162,5.09963503649635,10.524128686327078,7.052189781021898,4.5681411974977655,3.1704379562043794,
6.563672922252011,4.822262773722628,9.795129579982127,7.444160583941605,4.056523681858803,3.4098540145985403,
6.712689901697945,4.883941605839416,10.344057193923145,7.387226277372263,4.148793565683646,3.3543795620437957,
6.353440571939231,4.964598540145985,10.942582663092047,7.204744525547445,4.186550491510277,3.2715328467153286,
6.424709562109026,5.012043795620438,11.121760500446827,7.717518248175183,4.369302949061662,3.4386861313868615,
6.145889186773905,5.072992700729927,11.21827524575514,8.37919708029197,4.305183199285076,2.9299270072992702,
6.67828418230563,5.253284671532847,11.41823056300268,7.551459854014599,4.55674709562109,3.374087591240876,
6.679848078641644,4.775912408759124,11.510277033065236,8.88029197080292,4.6767202859696155,3.1762773722627737,
6.231233243967829,4.665328467153285,11.349195710455763,10.021167883211678,4.456434316353888,3.1503649635036495,
6.462243074173369,4.994160583941606,11.208445040214476,9.771532846715328,4.648123324396783,2.8989051094890512,
6.533512064343164,4.677737226277372,11.513628239499553,9.448175182481751,4.8824843610366395,3.1704379562043794,
6.413538873994638,4.632481751824818,11.591823056300267,9.82956204379562,4.906166219839142,3.427007299270073,
6.417783735478105,4.781386861313869,11.096738159070599,10.032846715328468,5.125335120643432,3.024817518248175,
6.02993744414656,4.525912408759124,11.564119749776586,10.167153284671533,5.001563896336014,3.4346715328467154,
6.02390527256479,4.521897810218978,11.264968722073279,10.064598540145985,4.886058981233244,2.982846715328467,
5.9226988382484365,4.608029197080292,10.453753351206434,10.8,5.093163538873995,3.225182481751825,
6.285522788203753,5.034306569343066,11.025915996425379,10.344160583941607,4.683646112600536,3.156934306569343,
5.939678284182306,4.698540145985401,12.001340482573726,10.374817518248175,4.9226988382484365,3.1956204379562045,
6.1324843610366395,5.136131386861313,11.571045576407506,10.876642335766423,4.743521000893655,3.1894160583941606,
5.7761394101876675,4.774452554744525,11.128909740840037,10.398175182481753,4.948391420911528,3.3441605839416058,
6.336461126005362,4.982116788321168,11.42627345844504,10.641970802919708,4.874664879356568,3.1335766423357665,
6.244638069705094,4.815328467153285,11.206434316353887,10.598540145985401,4.91130473637176,3.2682481751824817,
6.17225201072386,4.576642335766423,11.292001787310099,10.282116788321169,4.793342269883825,3.1350364963503647,
5.85857908847185,4.512043795620438,11.41532618409294,11.956934306569343,5.080875781948168,3.1281021897810217,
6.186327077747989,4.868613138686132,11.354334226988383,9.474452554744525,4.478775692582663,3.30036496350365,
6.001563896336014,4.751459854014598,16.005361930294907,8.983211678832117,3.5315013404825737,3.5653284671532846,
5.663762287756926,5.047445255474453,17.510053619302948,7.924817518248175,3.420241286863271,3.23978102189781,
5.462689901697945,5.151459854014599,17.975871313672922,8.397445255474453,3.3590259159964253,3.198905109489051,
5.798927613941019,4.492335766423357,17.967605004468275,7.854379562043795,3.2817247542448613,3.3510948905109488,
5.969615728328865,4.8901459854014595,17.87064343163539,8.563138686131387,3.5326184092940127,3.3091240875912407,
5.421134941912422,4.6671532846715325,18.405942806076855,7.845620437956204,3.1639857015192137,3.4941605839416057,
5.368185880250223,4.65036496350365,17.9142091152815,7.4930656934306565,3.3744414655942805,3.454014598540146,
6.011170688114388,4.846350364963504,17.53596961572833,9.575182481751824,3.2890974084003575,3.1386861313868613,
5.65236818588025,4.59014598540146,18.08288650580876,9.572262773722628,3.351206434316354,3.139051094890511,
5.572386058981233,4.422262773722628,17.731680071492406,9.644160583941606,3.371313672922252,3.216058394160584,
5.459338695263628,4.5,17.802055406613047,10.703284671532847,3.469839142091153,3.134671532846715,
5.31769436997319,4.433576642335766,18.171581769436997,10.054379562043795,3.506255585344057,3.2835766423357664,
5.39142091152815,4.919343065693431,18.7955764075067,9.305839416058394,3.364164432529044,3.1014598540145983,
5.673815907059875,5.0346715328467155,17.95643431635389,10.053284671532847,3.493297587131367,3.301094890510949,
5.532171581769437,4.149635036496351,17.99731903485255,10.72007299270073,3.453083109919571,3.2244525547445257,
5.577077747989276,4.566423357664234,18.766532618409293,9.024087591240876,3.5142984807864166,3.278102189781022,
5.55674709562109,4.304744525547445,18.179401251117067,8.644890510948905,3.1651027703306522,3.060948905109489,
5.075290437890974,4.425547445255474,17.478775692582662,8.498905109489051,3.192359249329759,2.9748175182481753,
5.493521000893655,4.465693430656934,18.20308310991957,8.612408759124088,3.307864164432529,3.3642335766423357,
5.548480786416444,4.351824817518248,18.288427167113493,9.228832116788322,3.205764075067024,3.216788321167883,
5.317247542448615,4.560948905109489,17.485478105451296,9.158759124087592,3.4626899016979444,3.1394160583941604,
5.312109025915996,4.497445255474452,17.54356568364611,8.757299270072993,3.474530831099196,3.1558394160583942,
5.573056300268097,4.5062043795620434,17.740840035746203,9.142335766423358,3.183646112600536,3.171897810218978,
5.308534405719392,4.494890510948905,17.56076854334227,8.932481751824817,3.124888293118856,3.3354014598540145,
5.2750223413762285,4.677737226277372,17.114834673815906,8.868248175182481,3.520107238605898,2.9536496350364962,
